"","ID","Name","DiveNumber","Type","DescentDuration","AscentDuration","DescentRate","AscentRate","Duration","SurfaceInterval","TimeUntilEcholocation","EcholocationDuration","FlukeRate","ODBA","Depth","HeadingVariability"
"1",1," zc03_260a ",1,0,4.436667,2.796667,0.74553,0.986947,0.133444,1.723333,0.117417,0,0.21121,1.348509,184.205929,0.176373
"3",1," zc03_260a ",3,0,6.266667,5.123333,0.798276,0.893161,0.2955,2.353333,1.42661,0,0.132875,0.775626,307.156697,0.137628
"4",1," zc03_260a ",4,0,9.716667,4.063333,0.569765,1.256438,0.309389,6.257245,1.42661,0,0.158428,1.007232,342.737135,0.041777
"6",2," zc03_263a ",2,0,6.216667,8.143333,1.093613,0.765648,0.303333,2.073333,2.1125,0,0.156519,0.43219,415.796331,0.044174
"7",2," zc03_263a ",3,0,3.623333,6.486667,1.124488,0.549786,0.242222,2.25,1.835722,0,0.107162,0.387145,239.877339,0.077416
"8",2," zc03_263a ",4,0,4.756667,8.066667,1.287989,0.720176,0.294944,1.983333,1.503278,0,0.135403,0.389332,387.385427,0.063503
"9",2," zc03_263a ",5,0,4.906667,5.71,0.840314,0.655373,0.285056,1.793333,1.185167,0,0.090317,0.332369,249.561563,0.067509
"10",2," zc03_263a ",6,0,5.306667,6.916667,0.719513,0.503804,0.274167,1.673333,0.881111,0,0.046373,0.317216,232.398653,0.060466
"11",2," zc03_263a ",7,0,4.21,7.02,0.845301,0.459423,0.273167,1.656667,0.580056,0,0.042345,0.34449,215.07842,0.076124
"12",2," zc03_263a ",8,0,4.896667,5.183333,0.667612,0.567318,0.262167,12.05,0.290278,0,0.039824,0.328912,196.155114,0.051687
"14",2," zc03_263a ",10,0,4.4,6.523333,0.826827,0.499394,0.227278,38.42,0.724722,0,0.074183,0.357629,217.254773,0.073648
"20",2," zc03_263a ",16,0,4.27,6.626667,0.86168,0.508189,0.235611,86.993333,1.525667,0,0.077992,0.307922,224.585531,0.035221
